Store_Ratio,Basket_Ratio,Score_3,Score_4
0.407,0.0038,0.11,113.911
0.2339999999999999,0.105,0.0382,76.332
0.6679999999999999,0.726,0.4529999999999999,124.075
0.184,0.00561,0.0641,79.03699999999999
0.231,0.131,0.0677,109.56
0.7559999999999999,0.609,0.537,117.023
0.3979999999999999,0.0336,0.612,72.166
0.7170000000000001,0.6990000000000001,0.6890000000000001,100.147
0.419,0.574,0.345,129.26
0.705,0.221,0.384,84.962
0.802,0.591,0.309,139.864
0.532,0.0872,0.187,131.494
0.54,0.1989999999999999,0.25,134.125
0.494,0.913,0.372,109.191
0.648,0.939,0.2769999999999999,150.061
0.373,0.1119999999999999,0.501,110.651
0.669,0.6729999999999999,0.867,132.68
0.758,0.7959999999999999,0.919,145.475
0.107,0.183,0.0365,84.945
0.41,0.478,0.163,80.363
0.609,0.949,0.848,168.007
0.233,0.124,0.061,74.747
0.502,0.924,0.922,149.186
0.5429999999999999,0.365,0.355,132.09799999999998
0.497,0.8009999999999999,0.674,147.933
0.497,0.3989999999999999,0.0917,118.9
0.5529999999999999,0.6659999999999999,0.895,80.195
0.168,0.0742,0.441,96.49
0.614,0.614,0.557,159.971
0.7440000000000001,0.519,0.356,89.86
0.25,0.00664,0.0279,144.41899999999998
0.596,0.324,0.64,170.03799999999998
0.64,0.926,0.901,131.997
0.325,0.664,0.367,135.88299999999998
0.762,0.5529999999999999,0.469,143.999
0.4529999999999999,0.206,0.0565,104.96
0.628,0.698,0.732,89.976
0.381,0.257,0.0889,84.001
0.784,0.204,0.469,75.988
0.73,0.439,0.615,130.09
0.304,0.0483,0.301,166.00599999999997
0.703,0.8340000000000001,0.537,127.944
0.506,0.693,0.221,139.912
0.472,0.0361,0.209,74.596
0.354,0.982,0.1939999999999999,143.77200000000002
0.462,0.374,0.174,122.939
0.419,0.938,0.3329999999999999,160.151
0.497,0.757,0.507,169.90200000000002
0.889,0.863,0.7759999999999999,112.953
0.731,0.573,0.145,109.928
0.282,0.0901,0.0357,74.11399999999999
0.813,0.633,0.154,122.006
0.0857,0.0033399999999999,0.153,72.62100000000001
0.78,0.603,0.807,105.979
0.433,0.0437,0.196,68.152
0.364,0.00547,0.0784,64.081
0.6409999999999999,0.81,0.805,165.86700000000002
0.41,0.2339999999999999,0.19,93.72
0.478,0.98,0.911,150.968
0.149,0.0994,0.0394,138.70600000000002
0.3929999999999999,0.256,0.0967,149.625
0.758,0.7,0.0987,124.041
0.473,0.432,0.1889999999999999,120.014
0.68,0.716,0.633,83.904
0.486,0.382,0.1639999999999999,125.918
0.528,0.856,0.5720000000000001,87.01899999999999
0.3879999999999999,0.143,0.578,182.665
0.467,0.186,0.228,88.52
0.455,0.178,0.386,90.969
0.0866,0.996,0.0116,76.941
0.4429999999999999,0.8440000000000001,0.452,76.001
0.887,0.161,0.0833,159.977
0.693,0.201,0.679,100.836
0.7440000000000001,0.823,0.913,93.926
0.236,0.0164,0.191,133.171
0.267,0.0322,0.0609,88.531
0.843,0.908,0.351,125.995
0.8759999999999999,0.685,0.402,100.008
0.638,0.182,0.247,180.715
0.705,0.3279999999999999,0.281,139.868
0.67,0.7140000000000001,0.865,112.065
0.8420000000000001,0.488,0.6459999999999999,126.02
0.519,0.46,0.675,132.082
0.503,0.967,0.254,95.006
0.205,0.989,0.311,178.672
0.905,0.85,0.631,105.027
0.478,0.485,0.688,171.463
0.598,0.853,0.315,122.012
0.2019999999999999,0.153,0.28,63.085
0.301,0.012,0.0861,141.02700000000002
0.6509999999999999,0.628,0.513,150.014
0.779,0.335,0.807,80.071
0.613,0.642,0.628,199.861
0.624,0.246,0.718,77.558
0.868,0.638,0.4589999999999999,126.03
0.626,0.794,0.371,124.992
0.5,0.0923,0.324,159.403
0.218,0.0207,0.0901,93.7
0.598,0.809,0.653,104.784
0.379,0.023,0.1639999999999999,75.609
0.528,0.487,0.0466,135.009
0.447,0.0848,0.268,109.703
0.262,0.0557,0.0395,108.929
0.0674,0.0319,0.0384,67.904
